alpha,CL,CD
0.0,0.0203,0.02256
0.0,0.0309,0.02190
0.0,0.0298,0.02159
0.0,-999.0000,0.02224
0.0,0.0176,0.02244
4.0,0.4558,0.03117
4.0,0.4646,0.03204
4.0,0.4596,-999.00000
4.0,0.4660,0.03165
4.0,0.4452,0.03043
8.0,0.9125,0.05968
8.0,-999.0000,0.05853
8.0,0.9054,0.05955
8.0,0.8989,0.05759
8.0,0.8970,0.05781
12.0,1.3437,0.10275
12.0,1.3466,0.10256
12.0,1.3384,0.10269
12.0,1.3388,0.10297
12.0,1.3455,-999.00000
16.0,1.7730,0.16429
16.0,1.7679,0.16314
16.0,-999.0000,0.16547
16.0,1.7746,0.16396
16.0,1.7646,0.16269
20.0,2.2135,0.24168
20.0,2.2163,0.24341
20.0,2.2105,0.24225
20.0,2.2081,0.24035
20.0,2.2203,0.24405
